科修达有限公司,万科企业股份有限公司
永高股份有限公司,公元塑业集团有限公司
永高股份有限公司,卢彩芬
永高股份有限公司,公元塑业集团有限公司
永高股份有限公司,公元塑业集团有限公司
中节能资本控股有限公司,中节能万润股份有限公司
浙江泰晟新材料科技有限公司,民盛金科控股股份有限公司
浙江泰晟新材料科技有限公司,民盛金科控股股份有限公司
浙江泰晟新材料科技有限公司,民盛金科控股股份有限公司
浙江泰晟新材料科技有限公司,民盛金科控股股份有限公司
浙江泰晟新材料科技有限公司,民盛金科控股股份有限公司
浙江卫星石化股份有限公司,浙江卫星控股股份有限公司
深圳万润科技股份有限公司,深圳市日进投资有限公司
深圳万润科技股份有限公司,深圳市日进投资有限公司
朱烨东,北京中科金财科技股份有限公司
朱烨东,北京中科金财科技股份有限公司
江苏中泰桥梁钢构股份有限公司,北京文华学信教育投资有限公司
广东奥马电器股份有限公司,赵国栋
桑德（天津）再生资源投资控股有限公司,东江环保股份有限公司
桑德（天津）再生资源投资控股有限公司,东江环保股份有限公司
吴美莉,兴业皮革科技股份有限公司
福建金森集团有限公司,福建金森林业股份有限公司
广东宏大爆破股份有限公司,郑明钗
广东猛狮新能源科技股份有限公司,汕头市猛狮房地产有限公司
广东猛狮工业集团有限公司,广东猛狮新能源科技股份有限公司
沈阳远大智能工业集团股份有限公司,沈阳远大铝业集团有限公司
孙忠义,百洋产业投资集团股份有限公司
哈尔滨博实自动化股份有限公司,哈尔滨工大金涛科技股份有限公司
美盛控股集团有限公司,美盛文化创意股份有限公司
上海原龙投资有限公司,奥瑞金包装股份有限公司
任思龙,上海良信电器股份有限公司
众信旅游,郭洪斌
冯滨,众信旅游集团股份有限公司
马晓静,东易日盛家居装饰集团股份有限公司
秦英林,牧原食品股份有限公司
岭南园林股份有限公司,尹洪卫
新疆<e2>麦趣尔</e2>集团有限责任公司,麦趣尔
钟葱,北京金一文化发展股份有限公司
山东龙大肉食品股份有限公司,山东龙藤不二食品有限公司
昆明生达制药有限公司,云南鸿翔一心堂药业(集团)股份有限公司
电光防爆科技股份有限公司,王建化
电光防爆科技股份有限公司,王建化
李新生,利民化工股份有限公司
苏清香,深圳市爱迪尔珠宝股份有限公司
刘梦龙,深圳市易尚展示股份有限公司
刘梦龙,深圳市易尚展示股份有限公司
刘梦龙,深圳市易尚展示股份有限公司
深圳市易尚展示股份有限公司,深圳市汇智成长投资企业（有限合伙）
曹国熊,浙江华通医药股份有限公司
肖行亦,深圳市索菱实业股份有限公司
第一创业,J.P.MorganHoldings(HongKong)Limited
第一创业证券股份有限公司,J.P.MorganBroking(HongKong)Limited
刘雨华,广州弘亚数控机械股份有限公司
东沣科技集团股份有限公司,铱格斯曼航空科技集团有限公司
瓦房店轴承集团有限责任公司,瓦房店轴承股份有限公司
瓦房店轴承股份有限公司,瓦房店轴承集团装备技术工程有限公司
瓦房店轴承股份有限公司,瓦房店轴承集团装备技术工程有限公司
瓦房店轴承精密锻压有限责任公司,瓦房店轴承股份有限公司
蒲忠杰,乐普(北京)医疗器械股份有限公司
邱宇,重庆莱美药业股份有限公司
邱宇,重庆莱美药业股份有限公司
刘金成,惠州亿纬锂能股份有限公司
刘金成,惠州亿纬锂能股份有限公司
网宿科技股份有限公司,储敏健
网宿科技股份有限公司,储敏健
洪珂,网宿科技股份有限公司
银江股份有限公司,银江科技集团有限公司
天津红日药业股份有限公司,江苏为真生物医药技术股份有限公司
北京华信实景股权投资合伙企业（有限合伙）,华谊兄弟传媒股份有限公司
金亚科技股份有限公司,周旭辉
周旭,金亚科技股份有限公司
邓冠华,阳普医疗
邓冠华,广州阳普医疗科技股份有限公司
邓冠华,广州阳普医疗科技股份有限公司
邓冠华,广州阳普医疗科技股份有限公司
上海凯宝药业股份有限公司,河南省联谊制药有限公司
上海凯宝药业股份有限公司,河南省新谊药业有限公司
员工持股计划,湖北回天新材料股份有限公司
陈友,深圳天源迪科信息技术股份有限公司
王冠一,内蒙古福瑞医疗科技股份有限公司
王冠一,内蒙古福瑞医疗科技股份有限公司
颜军,欧比特
颜军,珠海欧比特宇航科技股份有限公司
中能电气,王桂兰
郑州华晶金刚石股份有限公司,郑州高新科技企业加速器开发有限公司
理成南都资产管理计划,浙江南都电源动力股份有限公司
浙江南都电源动力股份有限公司,上海南都伟峰投资管理有限公司
辽宁奥克化学股份有限公司,上海德努弗投资管理有限公司
广东劲胜智能集团股份有限公司,夏军
刘奕,深圳市银之杰科技股份有限公司
安徽盛运环保(集团)股份有限公司,安徽盛运建筑安装工程有限公司
盛运环保,祥云盛运环保电力有限公司
罗伟广,金刚玻璃
易联众,福建易联众电子科技有限公司
大连智云自动化装备股份有限公司,师利全
谭永良,大连智云自动化装备股份有限公司
深圳市万讯云桥基金合伙企业（有限合伙）,深圳万讯自控股份有限公司
深圳市万讯云桥基金合伙企业（有限合伙）,深圳万讯自控股份有限公司
郭鸿宝,陕西坚瑞沃能股份有限公司
林海峰,东方日升新能源股份有限公司
公司第一期员工持股计划,上海泰胜风能装备股份有限公司
英唐智控,钟勇斌
柯维龙,福建青松股份有限公司
杜昉,浙江华策影视股份有限公司
宁波宋城七弦投资管理有限公司,宋城演艺发展股份有限公司
宁波宋城七弦投资管理有限公司,宋城演艺发展股份有限公司
宁波宋城七弦投资管理有限公司,宋城演艺发展股份有限公司
杭州宋城集团控股有限公司,宋城演艺发展股份有限公司
杭州宋城集团控股有限公司,宋城演艺发展股份有限公司
杭州宋城集团控股有限公司,宋城演艺发展股份有限公司
宋城演艺,刘岩
沈金浩,南方中金环境股份有限公司
广州佰禧投资管理合伙企业(有限合伙),汤臣倍健股份有限公司
天津丰利创新投资有限公司,徐州科融环境资源股份有限公司
天津丰利创新投资有限公司,徐州科融环境资源股份有限公司
科泰电源,
上海科泰电源股份有限公司,科泰能源（香港）有限公司
昆山瑞凌焊接科技有限公司,深圳市瑞凌实业股份有限公司
刘荣,恒泰艾普
北京雷曼第十二人科技有限公司,深圳雷曼光电科技股份有限公司
深圳雷曼光电科技股份有限公司,李漫铁
北京雷曼第十二人科技有限公司,深圳雷曼光电科技股份有限公司
上海万豪投资有限公司,万达信息股份有限公司
郭景松,松德智慧装备股份有限公司
福建元力活性炭股份有限公司,卢元健
深圳市腾邦国际商业服务股份有限公司第1期员工持股计划,深圳市腾邦国际商业服务股份有限公司
中海信托-安盈15号<e2>捷成股份</e2>员工持股计划,捷成股份
捷成股份,陈同刚
北京捷成世纪科技股份有限公司,陈同刚
湖南永清投资集团有限责任公司,永清环保股份有限公司
湖南永清投资集团有限责任公司,永清环保股份有限公司
湖南永清投资集团有限责任公司,永清环保股份有限公司
周锦明,潜能恒信能源技术股份有限公司
杨鹏威,江苏长海复合材料股份有限公司
陈志江,福建纳川管材科技股份有限公司
深圳翰宇药业股份有限公司,张有平
广发证券资产管理（广东）有限公司,深圳翰宇药业股份有限公司
广发证券资产管理（广东）有限公司,翰宇药业
武汉天喻信息产业股份有限公司,武汉华工大学科技园发展有限公司
深圳市欣旺达综合能源服务有限公司,欣旺达
易华录,华录亿动科技发展有限公司
赵东日,山东日科化学股份有限公司
山东日科化学股份有限公司,路恩斌
山东日科化学股份有限公司,路恩斌
长沙华福康投资有限公司,湖南千山制药机械股份有限公司
谭颂斌,广东银禧科技股份有限公司
谭颂斌,广东银禧科技股份有限公司
科大智能,任建福
上海钢联电子商务股份有限公司,上海策源置业顾问股份有限公司
史佩浩,上海永利带业股份有限公司
詹立雄,北京银信长远科技股份有限公司
詹立雄,北京银信长远科技股份有限公司
詹立雄,北京银信长远科技股份有限公司
北京银信长远科技股份有限公司,詹立雄
北京银信长远科技股份有限公司,詹立雄
詹立雄,北京银信长远科技股份有限公司
浙江开尔新材料股份有限公司,金利娟
邢翰学,浙江开尔新材料股份有限公司
潍坊美晨投资有限公司,美晨科技
冠昊生物科技股份有限公司,广东知光生物科技有限公司
冠昊生物科技股份有限公司,广东知光生物科技有限公司
浙江迪安诊断技术股份有限公司,杭州迪桂股权投资管理合伙企业（有限合伙）
森隆中投（苏州）创业投资有限责任公司,上海天玑科技股份有限公司
上海嗣承投资管理中心（有限合伙）,上海天玑科技股份有限公司
广东宝莱特医用科技股份有限公司,魏廷占
新开普,刘永春
上海禄森电子有限公司,杭州初灵信息技术股份有限公司
杭州初灵信息技术股份有限公司,杭州初灵创业投资有限公司
上海光线投资控股有限公司,光线传媒
黄昌华,深圳金信诺高新技术股份有限公司
卫宁健康科技集团股份有限公司,周炜
卫宁健康科技集团股份有限公司,周炜
西藏泓灏企业管理有限公司,山西仟源医药集团股份有限公司
山西仟源医药集团股份有限公司,翁占国
张振标,山西仟源医药集团股份有限公司
山西仟源医药集团股份有限公司,翁占国
山西仟源医药集团股份有限公司,左学民
山西仟源医药集团股份有限公司,韩振林
山西仟源医药集团股份有限公司,张彤慧
高树华,河北常山生化药业股份有限公司
浙江星星科技股份有限公司,毛肖林
叶仙玉,浙江星星科技股份有限公司
叶仙玉,浙江星星科技股份有限公司
浙江水晶光电科技股份有限公司,星星科技
水晶光电,星星科技
新天科技股份有限公司,深圳一创新天物联网产业基金企业（有限合伙）
新天科技股份有限公司,深圳一创新天投资管理有限公司
雅本化学股份有限公司,江苏建农植物保护有限公司
江苏通光电子线缆股份有限公司,通光集团有限公司
兴源环境科技股份有限公司,浙江水美环保工程有限公司
无锡和晶科技股份有限公司,徐宏斌
无锡和晶科技股份有限公司,吴阿平
马镇鑫,广东金明精机股份有限公司
符冠华,苏交科集团股份有限公司
符冠华,苏交科集团股份有限公司
飞利信,
王伟,贵阳朗玛信息技术股份有限公司
王伟,贵阳朗玛信息技术股份有限公司
付艳杰,荣科科技股份有限公司
中国华录集团有限公司,北京华录百纳影视股份有限公司
沈阳蓝英工业自动化装备股份有限公司,于承光
宁波奇螺投资管理有限公司,博雅生物制药集团股份有限公司
博雅生物制药集团股份有限公司,深圳市高特佳弘瑞投资有限公司
上海高特佳懿康投资合伙企业（有限合伙）,博雅生物制药集团股份有限公司
博雅生物制药集团股份有限公司,上海高特佳懿康投资合伙企业（有限合伙）
蓝盾信息安全技术股份有限公司,萍乡市瑞兴达投资管理合伙企业（有限合伙）
柯宗庆,蓝盾信息安全技术股份有限公司
富春科技股份有限公司,国信优易数据有限公司
缪知邑,富春科技股份有限公司
汉鼎宇佑互联网股份有限公司,杭州汉鼎宇佑互动娱乐管理有限公司
吴艳,汉鼎宇佑互联网股份有限公司
罗洪鹏,汉鼎宇佑互联网股份有限公司
杭州远方光电信息股份有限公司,浙江红相科技股份有限公司
郭仁祥,吉艾科技
任子行网络技术股份有限公司,深圳前海亚太富邦基金有限公司
任子行网络技术股份有限公司,景晓军
新疆天山畜牧生物工程股份有限公司,呼图壁县天山农业发展有限公司
新疆天山畜牧生物工程股份有限公司,呼图壁县天山农业发展有限公司
北京博晖创新光电技术股份有限公司,杜江涛
华灿光电股份有限公司,周健
上海凯利泰医疗科技股份有限公司,铭诚道（北京）医学科技股份有限公司
东吴证券,苏大维格
科恒股份,陈荣
邵秀英,山东联创互联网传媒股份有限公司
邵秀英,山东联创互联网传媒股份有限公司
邵秀英,山东联创互联网传媒股份有限公司
魏中传,山东联创互联网传媒股份有限公司
张京豫,华鹏飞股份有限公司
永贵电器,
北京东土科技股份有限公司,北京东土电信技术有限公司
北京东土科技股份有限公司,北京东土投资控股有限公司
成都天保节能工程有限公司,成都天翔环境股份有限公司
成都天翔环境股份有限公司,欧盛腾水处理技术（杭州）有限公司
长城国融投资管理有限公司,成都天翔环境股份有限公司
光大资本投资有限公司,成都天翔环境股份有限公司
重庆润生科技有限公司,重庆博腾制药科技股份有限公司
方文,北京恒华伟业科技股份有限公司
江春华,北京恒华伟业科技股份有限公司
东方网力科技股份有限公司,银动科天（杭州）投资管理合伙企业（有限合伙）
浙江安控科技有限公司,北京安控科技股份有限公司
克拉玛依安控科技有限公司,北京安控科技股份有限公司
张洪起,鹏翎股份
易事特集团股份有限公司,神木县润湖光伏科技有限公司
易事特集团股份有限公司,银阳新能源投资有限公司
唐球,深圳市赢时胜信息技术股份有限公司
浙江火神文化传播股份有限公司,深圳市艾比森光电股份有限公司
林建伟,苏州中来光伏新材股份有限公司
北京无线天利移动信息技术股份有限公司,齐亚魁
北京无线天利移动信息技术股份有限公司,上海天彩投资管理有限公司
宝钛集团有限公司,南京宝色股份公司
陕西有色天宏瑞科硅材料有限责任公司,南京宝色股份公司
陕西有色天宏瑞科硅材料有限责任公司,南京宝色股份公司
荣继华,广东道氏技术股份有限公司
荣继华,广东道氏技术股份有限公司
王立伟,北京昆仑万维科技股份有限公司
王立伟,北京昆仑万维科技股份有限公司
Kunlun Group Limited,北京昆仑万维科技股份有限公司
西藏广博环保投资有限责任公司,广西博世科环保科技股份有限公司
吴宏亮,浙江唐德影视股份有限公司
河南清水源科技股份有限公司,新华联控股有限公司
卓红叶,美康生物科技股份有限公司
邹炳德,美康生物科技股份有限公司
美康生物科技股份有限公司,张春实
美康生物科技股份有限公司,重庆美康生物科技有限公司
美康生物科技股份有限公司,肥乡县悦铭企业管理咨询中心（有限合伙）
美康生物科技股份有限公司,泰普生物科学（中国）有限公司
美康生物科技股份有限公司,宁波甬熙投资咨询有限公司
美康生物科技股份有限公司,合肥华浦医药有限公司
耐威科技,北京集成电路投资中心
王健,浙江金科文化产业股份有限公司
王健,浙江金科文化产业股份有限公司
厉达,赛摩电气
厉达,赛摩电气
美尚生态景观股份有限公司,秦文英
美尚生态景观股份有限公司,秦文英
美尚生态景观股份有限公司,秦文英
王迎燕,美尚生态景观股份有限公司
宝钢股份,武钢股份
宝钢股份,武钢股份
宝钢股份,武钢股份
首创华星国际投资有限公司,北京首创股份有限公司
内蒙古包钢钢联股份有限公司,包头钢铁（集团）有限责任公司
华能国际电力股份有限公司,中国华能集团公司
武钢有限,宝钢股份
山东钢铁股份有限公司,山信软件股份有限公司
山东钢铁集团济钢板材有限公司,山东钢铁股份有限公司
山东钢铁集团有限公司,山东钢铁股份有限公司
莱芜钢铁集团有限公司,山东钢铁股份有限公司
山东钢铁集团有限公司,山东钢铁股份有限公司
济钢国际融资租赁有限公司,山东钢铁股份有限公司
浙江浙能融资租赁有限公司,浙江浙能电力股份有限公司
中远海运能源运输股份有限公司,广州振华船务有限公司
三一集团有限公司,三一重工股份有限公司
深圳市三一科技有限公司,三一重工股份有限公司
三一集团有限公司,三一重工股份有限公司
三一重工股份有限公司,湖南三一路面机械有限公司
员工持股计划,招商银行股份有限公司
北京歌华有线电视网络股份有限公司,北京北广传媒集团有限公司
北京歌华有线电视网络股份有限公司,北京环球国广媒体科技有限公司
北京歌华有线电视网络股份有限公司,北京北广传媒影视有限公司
北京歌华有线电视网络股份有限公司,北京北广传媒集团有限公司
福州大通机电有限公司,冠城大通股份有限公司
福州大通机电有限公司,冠城大通股份有限公司
诸暨富润染整有限公司,浙江富润股份有限公司
浙江富润,江有归
浙江富润,江有归
浙江富润股份有限公司,诸暨市富润老年康乐中心
诸暨富润染整有限公司,浙江富润股份有限公司
何四新,浙江富润股份有限公司
凤凰光学股份有限公司,凤凰光学控股有限公司
凤凰光学股份有限公司,凤凰光学控股有限公司
上海正广和网上购物有限公司,上海梅林正广和股份有限公司
庄敏,江苏保千里视像科技集团股份有限公司
江苏保千里视像科技集团股份有限公司,庄敏
江阴澄星实业集团有限公司,江苏澄星磷化工股份有限公司
第一期员工持股计划,金花企业(集团)股份有限公司
中信国安葡萄酒业股份有限公司,中信国安（西藏）创新基金管理有限公司
腾冲嘉德利实业有限公司,东方金钰股份有限公司
浙江新湖集团股份有限公司,哈尔滨高科技(集团)股份有限公司
广州发展集团股份有限公司,长江电力
江苏永鼎股份有限公司,永鼎集团有限公司
重庆路桥股份有限公司,益民基金管理有限公司
甘肃省农垦房地产综合开发公司,甘肃亚盛实业(集团)股份有限公司
邓建宇,西宁特钢
中国卫星,航天恒星空间技术应用有限公司
中国卫星,航天恒星空间技术应用有限公司
浙江东方集团股份有限公司,浙江省国际贸易集团有限公司
浙江东方集团股份有限公司,永安期货股份有限公司
金健米业股份有限公司,湖南粮食集团有限责任公司
江苏弘业股份有限公司,江苏省纺织集团有限公司
江苏弘文置业有限公司,江苏弘业股份有限公司
江苏弘业股份有限公司,江苏省纺织集团有限公司
重庆桐君阁股份有限公司,重庆太极实业(集团)股份有限公司
武汉当代明诚文化股份有限公司,上海耐丝投资管理中心（有限合伙）
蒋立章,武汉当代明诚文化股份有限公司
宜昌兴发集团有限责任公司,湖北兴发化工集团股份有限公司
金发科技,熊海涛
金发科技,熊海涛
中国船舶工业集团公司,中国船舶工业股份有限公司
上海航融新能源科技有限公司,上海航天汽车机电股份有限公司
维科控股集团股份有限公司,宁波维科精华集团股份有限公司
宝硕股份,盘江股份
永泰能源股份有限公司,华瀛石油化工有限公司
上海中能企业发展（集团）有限公司,宁夏新日恒力钢丝绳股份有限公司
宁夏新日恒力钢丝绳股份有限公司,宁夏华辉活性炭股份有限公司
上海中能企业发展（集团）有限公司,宁夏新日恒力钢丝绳股份有限公司
联美控股,沈阳华新联美置业有限公司
太原重工股份有限公司,太原重型机械集团有限公司
河南黄河旋风股份有限公司,河南黄河实业集团股份有限公司
安通控股股份有限公司,郭东泽
浙江睿康投资有限公司,莲花健康产业集团股份有限公司
浙江睿康投资有限公司,莲花健康产业集团股份有限公司
吉隆厚康实业有限公司,黑龙江国中水务股份有限公司
兖州煤业股份有限公司,上海中期期货有限公司
上海百汇星融投资控股有限公司,上海创兴资源开发股份有限公司
上海百汇星融投资控股有限公司,上海创兴资源开发股份有限公司
罗顿发展股份有限公司,北京德稻教育投资有限公司
中国再生资源开发有限公司,中再资源环境股份有限公司
山东怡力电业有限公司,山东南山铝业股份有限公司
海航集团西南总部有限公司,海南航空控股股份有限公司
海航旅游集团有限公司,海南航空控股股份有限公司
天航控股有限责任公司,海南航空控股股份有限公司
大新华航空有限公司,海南航空控股股份有限公司
浙江瀚叶股份有限公司,成都炎龙科技有限公司
凌源钢铁股份有限公司,凌源钢铁集团有限责任公司
浙江金鹰集团有限公司,金鹰股份
圆通速递,上海圆通蛟龙投资发展（集团）有限公司
民丰特种纸股份有限公司,嘉兴民丰集团有限公司
辽宁万恒集团有限公司,辽宁时代万恒股份有限公司
辽宁万恒集团有限公司,辽宁时代万恒股份有限公司
辽宁时代万恒控股集团有限公司,辽宁时代万恒股份有限公司
白骅,浙江海正药业股份有限公司
江西赣粤高速公路股份有限公司,江西省高速公路投资集团有限责任公司
江西昌泰高速公路有限责任公司,江西赣粤高速公路股份有限公司
中外运空运发展股份有限公司,中国外运长航集团有限公司
上海开开实业股份有限公司,上海比昂建筑装潢工程有限公司
阳煤集团昔阳化工有限责任公司,太原化工股份有限公司
上海浦东路桥建设股份有限公司,宰正浩
上海浦东路桥建设股份有限公司,宰正浩
陈燕,河南羚锐制药股份有限公司
郑素贞,大恒新纪元科技股份有限公司
郑素贞,大恒新纪元科技股份有限公司
郑素贞,大恒新纪元科技股份有限公司
亿阳集团股份有限公司,亿阳信通股份有限公司
华仪电气股份有限公司,华时能源科技集团有限公司
许锡忠,湖北三峡新型建材股份有限公司
维维集团股份有限公司,维维食品饮料股份有限公司
广西桂能电力有限责任公司,广西桂东电力股份有限公司
巢湖海螺水泥有限公司,安徽新力金融股份有限公司
北京光耀东方航天桥购物中心有限公司,潍坊亚星化学股份有限公司
深圳品汇投资有限公司,潍坊亚星化学股份有限公司
珠海华发实业股份有限公司,珠海市海川地产有限公司
珠海华发投资发展有限公司,珠海华发实业股份有限公司
无锡商业大厦大东方股份有限公司,张继福
天津中新药业集团股份有限公司,天津金草国药投资有限公司
天通控股股份有限公司,海宁东方天力创新产业投资合伙企业（有限合伙）
四川宏达股份有限公司,四川宏达（集团）有限公司
美克投资集团有限公司,美克国际家居用品股份有限公司
昆仑金融租赁有限责任公司,中国石油集团工程股份有限公司
阳泉煤业(集团)股份有限公司,阳泉煤业（集团）有限责任公司
山东高速潍莱公路有限公司,山东高速股份有限公司
山东高速股份有限公司,山东高速齐鲁建设集团公司
牡丹江恒丰纸业股份有限公司,牡丹江恒丰纸业集团有限责任公司
国旅联合股份有限公司,厦门当代投资集团有限公司
厦门当代旅游资源开发有限公司,国旅联合股份有限公司
新疆塔里木农业综合开发股份有限公司,恒天海龙
北京华联综合超市股份有限公司,华联股份
宁波韵升,宁波韵声精机有限公司
宁波韵升股份有限公司,韵升控股集团有限公司
宁波韵升股份有限公司,韵升控股集团有限公司
华菱星马汽车(集团)股份有限公司,江东控股集团有限责任公司
深圳市百业源投资有限公司,健康元药业集团股份有限公司
兴宁市众益福投资有限公司,广东明珠集团股份有限公司
广州粤泰集团股份有限公司,付恩平
安源煤业集团股份有限公司,丰城矿务局
江苏红豆实业股份有限公司,红豆集团公司远东有限公司
周致远,江苏红豆实业股份有限公司
江苏红豆实业股份有限公司,红豆投资有限公司
江苏红豆实业股份有限公司,红豆集团有限公司
华君电力有限公司,海润光伏科技股份有限公司
董勇强,动力源
董勇强,动力源
唐山三友碱业（集团）有限公司,唐山三友化工股份有限公司
湘潭电机股份有限公司,湘电集团有限公司
安徽江淮汽车集团控股有限公司,江淮汽车
中国医药工业研究总院,上海现代制药股份有限公司
北京华方科泰医药有限公司,昆药集团股份有限公司
中国远洋运输（集团）总公司,中远海运特种运输股份有限公司
北京三元食品股份有限公司,北京三元创业投资有限公司
广东冠豪高新技术股份有限公司,中国纸业投资有限公司
深圳市金证科技股份有限公司,人谷科技（北京）有限责任公司
滨州市国有资产经营有限公司,华纺股份有限公司
宝钛集团有限公司,宝鸡钛业股份有限公司
宝钛集团有限公司,宝鸡钛业股份有限公司
株洲时代新材料科技股份有限公司,青岛南车华轩水务有限公司
山东好当家海洋发展股份有限公司,好当家集团有限公司
天津百利特精电气股份有限公司,天津液压机械（集团）有限公司
天津百利特精电气股份有限公司,天津液压机械（集团）有限公司
陆拥军,杭萧钢构股份有限公司
科力远,
湖南科力远新能源股份有限公司,湖南科力远高技术集团有限公司
江苏扬农化工股份有限公司,中国对外经济贸易信托有限公司
崔根良,江苏亨通光电股份有限公司
天津渤海医药产业结构调整股权投资基金有限公司,天津天药药业股份有限公司
天津金耀集团有限公司,天津天药药业股份有限公司
中金黄金股份有限公司,中国黄金集团公司
长江精工钢结构(集团)股份有限公司,中建信控股集团上海置业有限公司
长江精工钢结构(集团)股份有限公司,安徽长江精工装备科技有限公司
驰宏锌锗,苏庭宝
广东科达洁能股份有限公司,科达机电(香港)有限公司
中化国际,沈阳化工研究院有限公司
中国中化集团有限公司,中化国际
员工持股计划,安徽水利
西藏华孚投资有限公司,华丽家族股份有限公司
西藏华孚投资有限公司,华丽家族股份有限公司
华丽家族股份有限公司,陈孝刚
华丽家族股份有限公司,上海南江（集团）有限公司
方大特钢科技股份有限公司,江西方大钢铁集团华物电子商务有限公司
方大特钢科技股份有限公司,江西宜春重工集团有限公司
新疆天富能源股份有限公司,新疆天富集团有限责任公司
国药集团药业股份有限公司,国药控股股份有限公司
中天科技集团有限公司,江苏中天科技股份有限公司
深圳市沃尔核材股份有限公司,长园集团股份有限公司
长园集团,吴启权
沃尔核材,长园集团
陶国平,江苏江南高纤股份有限公司
陶国平,江苏江南高纤股份有限公司
山东省药用玻璃股份有限公司,淄博金牛投资股份有限公司
山东省药用玻璃股份有限公司,淄博金牛投资股份有限公司
淄博鑫联投资股份有限公司,山东省药用玻璃股份有限公司
南京栖霞建设股份有限公司,河北银行股份有限公司
南京栖霞建设股份有限公司,南京栖霞建设集团有限公司
天士力医药集团股份有限公司,天士力（香港）药业有限公司
江苏康缘美域生物医药有限公司,江苏康缘药业股份有限公司
江苏康缘集团有限责任公司,江苏康缘药业股份有限公司
大西洋,天津大西洋焊接材料有限公司
恒生电子股份有限公司,官晓岚
恒生电子股份有限公司,倪守奇
信雅达系统工程股份有限公司,杭州趣链科技有限公司
信雅达系统工程股份有限公司,杭州谐云科技有限公司
浙江康恩贝制药股份有限公司,朱麟
浙江康恩贝制药股份有限公司,朱麟
卧龙控股集团有限公司,卧龙电气集团股份有限公司
宝钢集团新疆八一钢铁有限公司,新疆八一钢铁股份有限公司
江阴芯智联电子科技有限公司,江苏长电科技股份有限公司
江苏长电科技股份有限公司,江苏新潮科技集团有限公司
山东能源医疗健康投资有限公司,山东新华医疗器械股份有限公司
上海众贡信息服务有限公司,大众交通(集团)股份有限公司
大众交通(集团)股份有限公司,上海大众嘉定污水处理有限公司
大众交通(集团)股份有限公司,上海大众公用事业（集团）股份有限公司
上海大众企业管理有限公司,大众交通(集团)股份有限公司
上海丰华(集团)股份有限公司,隆鑫控股有限公司
上海丰华(集团)股份有限公司,隆鑫控股有限公司
上海丰华(集团)股份有限公司,隆鑫控股有限公司
上海华谊集团企业发展有限公司,上海氯碱化工股份有限公司
上海华谊集团企业发展有限公司,上海氯碱化工股份有限公司
上海华谊（集团）公司,上海氯碱化工股份有限公司
上海华鑫股份有限公司,上海仪电资产经营管理(集团)有限公司
EBA Investments (Advisory)Limited,光大嘉宝股份有限公司
嘉定建业投资开发公司,光大嘉宝股份有限公司
上海新南东项目管理有限公司,上海新世界股份有限公司
浙报传媒控股集团有限公司,浙报数字文化集团股份有限公司
上海大众公用事业(集团)股份有限公司,上海大众企业管理有限公司
上海大众公用事业(集团)股份有限公司,大众汽车租赁有限公司
上海大众公用事业(集团)股份有限公司,上海大众企业管理有限公司
中源协和细胞基因工程股份有限公司,天津滨海协和投资有限公司
上海同达创业投资股份有限公司,首泰金信(北京)股权投资基金管理有限公司
上海外高桥集团股份有限公司,上海外高桥资产管理有限公司
上海外高桥集团股份有限公司,上海外高桥资产管理有限公司
上海城投控股股份有限公司,西部证券股份有限公司
上海锦江国际实业投资股份有限公司,BALANCE GLOBAL LIMITED
华晨汽车集团控股有限公司,上海申华控股股份有限公司
深圳市中恒汇志投资有限公司,中安消股份有限公司
上海交大产业投资管理（集团）有限公司,上海新南洋股份有限公司
上海陆家嘴金融贸易区开发股份有限公司,上海陆家嘴(集团)有限公司
上海陆家嘴金融贸易区开发股份有限公司,上海前滩国际商务区投资(集团)有限公司
杨宗昌,杭州天目山药业股份有限公司
中华企业股份有限公司,上海金丰投资有限公司
百川能源股份有限公司,曹飞
百川能源股份有限公司,曹飞
曹飞,百川能源股份有限公司
刚泰控股,广州市优娜珠宝首饰有限公司
甘肃刚泰控股(集团)股份有限公司,广州市优娜珠宝首饰有限公司
刚泰集团有限公司,甘肃刚泰控股(集团)股份有限公司
福建丰琪投资有限公司,福建东百集团股份有限公司
大商股份有限公司,大商嘉华集团有限公司
大商股份有限公司,大商嘉华集团有限公司
鲜言,上海岩石企业发展股份有限公司
鲜言,上海岩石企业发展股份有限公司
三河市华燕商业服务有限公司,哈尔滨工大高新技术产业开发股份有限公司
哈尔滨工大集团股份有限公司,哈尔滨工大高新技术产业开发股份有限公司
福建三安集团有限公司,三安光电股份有限公司
福建三安集团有限公司,三安光电股份有限公司
中航资本控股股份有限公司,中国航空技术国际控股有限公司
北京文创产业基金-屹唐定增基金,文投控股股份有限公司
天津港股份有限公司,天津金岸重工有限公司
天津港,天津金岸重工有限公司
天津港股份有限公司,天津振港通信工程有限公司
冀中能源股份有限公司,河北金牛化工股份有限公司
云南煤化工集团有限公司,云南云维股份有限公司
云南云维集团有限公司,云南云维股份有限公司
苏州高新创业投资集团有限公司,苏州新区高新技术产业股份有限公司
苏州新区高新技术产业股份有限公司,苏州市苏迪物业有限公司
苏州新区高新技术产业股份有限公司,苏州高新创业投资集团有限公司
苏州新区高新技术产业股份有限公司,苏州高新创业投资集团有限公司
苏州新区高新技术产业股份有限公司,苏州高新创业投资集团有限公司
辽宁成大股份有限公司,新疆宝明矿业有限公司
辽宁成大股份有限公司,新疆宝明矿业有限公司
